Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.260165691,0.003061591,0.03051785,-0.1809877,0.02524778,-0.09109726,0.9949013,-23.43529,23.54585,-7.141157,882.2969
0.280178070,0.002841344,0.03053388,-0.119866,0.02476035,-0.08867436,0.9920211,-23.43529,23.54585,-7.141157,882.2969
0.300190926,0.0643388,-0.08755007,0.1851103,0.02231912,-0.08966143,0.9905564,-23.43529,23.54585,-7.141157,882.2952
0.320203781,-0.305005,0.03067683,0.06319632,0.02085024,-0.09257886,0.9948758,-23.43876,23.91303,-7.140201,882.2952
0.340216160,0.002839411,0.2669479,0.1241067,0.02377662,-0.08673072,0.9958993,-23.43876,23.91303,-7.140201,882.2934
0.360229492,0.06443344,0.2077375,0.06308953,0.02574033,-0.09352614,0.9934334,-23.80294,23.5538,-7.51761,882.2934
0.380241871,0.06444554,0.2075495,0.06304599,0.0257363,-0.08818182,0.9929944,-23.80294,23.5538,-7.51761,882.2934
0.400255203,0.1875441,-0.02885629,0.002029151,0.0257407,-0.08867238,0.9896086,-23.80294,23.5538,-7.51761,882.2934
0.420267582,0.002675531,-0.0880284,0.1238943,0.02133147,-0.08382987,0.9949497,-23.81183,24.28677,-7.142527,882.2934
0.440279961,0.002784679,-0.147015,-0.05897324,0.02769581,-0.09205979,0.992002,-23.81183,24.28677,-7.142527,882.2934
0.460293293,0.002661776,-0.146887,0.1239036,0.02134517,-0.08918548,0.9871756,-22.69261,23.16555,-7.135548,882.2967
0.480305672,0.06427561,-0.02877057,0.001913587,0.02231388,-0.08819907,0.9939502,-22.69261,23.16555,-7.135548,882.2967
0.500318527,0.002783578,0.2665793,0.001966149,0.02183473,-0.09209628,0.9886023,-22.69261,23.16555,-7.135548,882.2967
0.520330906,0.002911771,-0.02875587,-0.05899292,0.02379002,-0.09305683,0.9890833,-23.42987,23.18006,-7.515283,882.2984
0.540344238,0.002904335,0.08930503,-0.05905529,0.02574354,-0.0886757,0.987193,-23.42987,23.18006,-7.515283,882.2984
0.560356617,-0.05866544,-0.265052,0.06288663,0.02182543,-0.08723123,0.9929906,-23.81066,23.91796,-6.708119,882.2984
0.580368996,-0.1200614,0.0302607,-0.12,0.0218298,-0.08966342,0.991038,-23.81066,23.91796,-6.708119,882.2984
0.600382328,0.06461866,-0.02878178,0.123946,0.02427614,-0.08868233,0.9881548,-23.81066,23.91796,-6.708119,882.2967
0.620394707,0.1262703,-0.02880222,0.1238452,0.02378242,-0.08819376,0.9920222,-23.43183,23.17866,-7.142114,882.2967
0.640408039,-0.05852187,-0.08790036,0.06280962,0.02232716,-0.09306878,0.9861802,-23.43183,23.17866,-7.142114,882.295
0.660420418,0.064557,-0.02889855,-0.0592757,0.02134283,-0.0930661,0.9919745,-23.42837,22.81148,-7.143071,882.295
0.680433273,0.06439494,0.1480921,0.1236784,0.0237844,-0.0891669,0.991048,-23.42837,22.81148,-7.143071,882.2983
0.700446129,-0.05879527,-0.02899394,0.06271975,0.0237817,-0.08867834,0.9929844,-23.42837,22.81148,-7.143071,882.2983
0.720458507,0.002876259,-0.02892118,0.001780286,0.02280506,-0.08771384,0.9915401,-24.17255,23.56035,-7.520893,882.2964
0.740471363,-0.1818959,0.0893441,0.1235503,0.02280725,-0.08431845,0.9872202,-24.17255,23.56035,-7.520893,882.2964
0.760483742,-0.05870053,0.08932368,-0.05935472,0.01889567,-0.09113374,0.9934326,-23.06222,23.17211,-7.138831,882.2964
0.780497074,0.06447548,0.03015138,0.001633719,0.02574542,-0.09547376,0.9905185,-23.06222,23.17211,-7.138831,882.2964
0.800509453,0.00296347,-0.08802424,0.001610501,0.02084666,-0.08577882,0.9929996,-23.06222,23.17211,-7.138831,882.2947
0.820522785,0.002936678,0.03000003,0.001606511,0.02133568,-0.08674731,0.9934763,-22.68719,22.79976,-7.509674,882.2947
0.840535164,0.002948595,-0.0880269,0.001736419,0.02231328,-0.09014004,0.9958667,-22.68719,22.79976,-7.509674,882.2997
0.860547543,-0.1202226,0.1483753,0.06260989,0.02476278,-0.08819178,0.9896097,-23.42837,22.81148,-7.143071,882.2997
